Date,AAPL,ADBE,AMZN,CSCO,DIS,GOOGL,JPM,KO,META,MRK,MSFT,NFLX,NKE,NVDA,PFE,PYPL,T,TSLA,UNH,V
2021-01-29,128.58128356933594,458.7699890136719,160.30999755859375,38.77865219116211,165.4124755859375,90.74214172363281,113.82133483886719,41.71672058105469,256.7472229003906,63.2819709777832,222.99142456054688,532.3900146484375,125.19722747802734,12.9540433883667,28.93663787841797,234.30999755859375,15.813641548156738,264.510009765625,309.5406188964844,186.7371063232422
2021-02-01,130.70547485351562,470.0,167.1439971923828,39.49193572998047,168.16653442382812,94.00514221191406,114.66171264648438,42.002628326416016,260.4046936035156,63.52009201049805,230.3840789794922,539.0399780273438,127.18406677246094,13.200614929199219,28.856029510498047,241.85000610351562,15.824691772460938,279.9366760253906,309.93023681640625,191.67491149902344
2021-02-02,131.53375244140625,484.92999267578125,169.0,39.86598205566406,174.05833435058594,95.2987060546875,118.19126892089844,42.41849899291992,265.4435729980469,63.85673141479492,230.24948120117188,548.1599731445312,130.82025146484375,13.519485473632812,28.203144073486328,249.10000610351562,15.763934135437012,290.92999267578125,314.3100891113281,195.7816619873047
2021-02-03,130.5105743408203,481.9200134277344,165.62649536132812,39.81378936767578,173.53700256347656,102.23885345458984,119.5447006225586,42.253875732421875,265.0162048339844,63.48723602294922,233.6045684814453,539.4500122070312,129.9206085205078,13.493309020996094,28.08224105834961,251.89999389648438,15.747361183166504,284.89666748046875,313.5400085449219,194.5738067626953
2021-02-04,133.87225341796875,489.3800048828125,166.5500030517578,41.101192474365234,177.27468872070312,101.9781494140625,122.29579162597656,42.46181106567383,264.85723876953125,62.42803955078125,232.65281677246094,552.1599731445312,131.79493713378906,13.626690864562988,28.122535705566406,270.42999267578125,15.957252502441406,283.3299865722656,305.5875244140625,202.19789123535156
2021-02-05,133.45748901367188,492.1199951171875,167.6074981689453,41.82316970825195,178.189453125,103.72608947753906,122.05695343017578,43.01630401611328,266.4573669433594,62.23918533325195,232.8354949951172,550.7899780273438,135.9934844970703,13.553640365600586,28.14672088623047,269.44000244140625,15.979345321655273,284.07666015625,301.1241760253906,201.73403930664062
2021-02-08,133.60391235351562,493.760009765625,166.14700317382812,42.571266174316406,186.88450622558594,103.51206970214844,123.96766662597656,43.2502326965332,264.9466857910156,61.61514663696289,233.09506225585938,547.9199829101562,134.40029907226562,14.399059295654297,28.066120147705078,282.1700134277344,15.890970230102539,287.8066711425781,300.9664306640625,199.9174041748047
2021-02-09,132.72560119628906,496.04998779296875,165.25,42.18852996826172,185.1238555908203,103.0586929321289,123.4723129272461,43.05963134765625,267.7991027832031,61.61514663696289,234.34481811523438,559.0700073242188,132.88201904296875,14.224042892456055,28.187028884887695,284.20001220703125,15.80811595916748,283.1533203125,305.8751525878906,199.5598907470703
2021-02-10,132.12059020996094,492.6700134277344,164.32899475097656,41.09248733520508,186.5205841064453,103.60939025878906,123.5431137084961,42.972991943359375,270.2042236328125,61.491973876953125,233.43150329589844,563.5900268554688,133.50994873046875,14.723666191101074,28.00163459777832,283.17999267578125,15.769457817077637,268.2733459472656,309.37347412109375,199.48263549804688
2021-02-11,131.86688232421875,496.6199951171875,163.10650634765625,41.38823699951172,187.7795867919922,103.72211456298828,123.19808959960938,43.57945251464844,268.7333679199219,61.36883544921875,235.0369873046875,557.5900268554688,134.52210998535156,15.208827018737793,27.75176429748535,285.0299987792969,15.846780776977539,270.5533447265625,309.0672912597656,203.8763885498047
