Date,AAPL,ABT,ADBE,AMGN,AMZN,BA,BKNG,BLK,BMY,CAT,COST,CRM,CSCO,CVX,DHR,DIS,FIS,GE,GILD,GOOGL,HON,IBM,INTC,JPM,KO,LIN,LMT,MCD,MDT,META,MMM,MRK,MSFT,NFLX,NKE,NVDA,ORCL,PEP,PFE,PYPL,QCOM,SAP,SBUX,SPGI,T,TSLA,TXN,UNH,V,WMT,ZTS
2001-02-08,604128000,8079957,24277000,4383400,105904000,2802100,627450,48200,3073619,1954000,5656000,,101508200,3951400,1644352,7135530,,3695093,66944000,,2699163,8766317,42899000,5730800,6654600,1473800,1301100,6959000,3930100,,2514470,10485135,88041200,,11316800,384288000,41775000,4430000,12396937,,25561800,314500,27500000,1218800,6063788,,12950200,8996800,,23903400,
2001-02-09,590083200,7686775,16247400,10396800,149080000,2017300,329517,27200,2765038,3121800,4396200,,134360900,4152800,3213717,4971313,,3855804,33257600,,5024704,6609465,40892100,5490500,4456400,1642000,948300,3406200,3176300,,2083193,4109208,100575200,,6783200,259608000,91625000,2423100,10661315,,25314800,676900,11520000,874800,9221925,,14012800,9462800,,23734200,
2001-02-12,274120000,9060129,8306800,11139100,105906000,2875500,109983,33100,3524355,3180600,4024300,,97195000,4442600,2672741,5408008,,3746152,54300800,,3076457,7038848,30482000,5246300,6766000,1056600,2067000,3865500,2464600,,3255273,3992146,71289400,,4188800,354336000,51901400,3360200,11514001,,26479400,471100,13576800,1028000,7422079,,11882200,10798000,,21862500,
2001-02-13,237070400,10283116,10268800,8579600,95908000,4984900,135700,33900,3364864,2898400,3532500,,74303300,3622400,2429927,6161683,,2988479,57667200,,2790838,7524087,41910800,7334700,6660600,2006400,1776600,5234600,3153800,,4039131,6080077,76070600,,6788800,467736000,44509700,3565900,15131329,,24444800,403400,17178400,2124600,6432654,,8611600,6012400,,22269600,
2001-02-14,309120000,4029175,9137600,8137700,162468000,3697900,147633,20800,3336391,2694800,3786800,,73145200,5079000,3147062,5477750,,2762623,29980800,,2665493,7356413,47442300,6835100,5678000,1055000,2160100,4888600,3114700,,5032768,3941004,61728400,,4241600,690888000,41247400,3602800,11823772,,24141800,1179500,18196800,5066200,5121364,,10810900,7660000,,15285000,
2001-02-15,311416000,6862762,11728600,6164800,327690000,2569700,424917,18400,6671311,3487000,5465100,,101537700,4665400,4114748,4727826,,5010311,21059200,,4739296,8471240,58334500,7408400,11421200,3139000,1795300,7087000,3501100,,3353823,8212338,65627800,,14766400,1108512000,46084700,3755700,12863332,,25560200,411500,11702400,2735600,4901580,,12504900,11206400,,22909800,
2001-02-16,263911200,7297602,15528800,5935500,129812000,2934600,385383,29600,4602339,3326200,4396800,,86437400,5898200,1730051,4744045,,3529937,23808000,,2962125,7398358,41543900,7364800,7635600,1045600,4712800,4590500,2916600,,4197482,6039414,66958400,,10629600,1081176000,40632200,5507700,15589292,,23395000,685600,8581600,1171400,7030440,,15726800,7935200,,19978200,
2001-02-20,314893600,5967242,11586000,10771000,131782000,3144600,303817,52200,3058700,4236800,5130100,,103669700,3801000,2143668,4908059,,4179982,86531200,,3114742,7058722,52397300,9073500,15772000,1733400,1796600,3712700,4837200,,4137442,4544233,60730800,,31327200,701304000,39873200,5478600,11621299,,24447400,565500,14636000,1419200,6428814,,12912600,7041200,,28009500,
2001-02-21,390258400,7921125,22444400,10556900,151052000,2299500,264933,48400,3287430,3115000,6097200,,96584700,5134600,3864792,3858591,,3859727,33913600,,3685350,9578117,51582200,9835100,19289000,1495600,1928000,4261100,3745900,,3819785,4478838,63947200,,16009600,646512000,57591900,7446200,12737063,,32640000,477900,19056000,1700800,6411867,,14892400,7615200,,24492600,
2001-02-22,431961600,8756276,32092800,9959300,164984000,2767600,399067,85500,4574391,3247400,4175700,,114885800,4092400,4834859,6011252,,4778633,16435200,,6443986,12247614,58517400,12409800,18957800,2292400,2036600,4020300,6126700,,5202122,5436081,100816400,,18472800,815304000,54073600,5337600,18209115,,51144600,932600,12880000,1613000,7570102,,21758800,8439600,,27462900,
